OCLC #,Title,Author,Language,Item type,Publication,Publisher,Year,Database,Notes,Added date
613503012,"Proceedings of the Thirteenth International Symposium on Space Terahertz Technology : Tuesday-Thursday, March 26-28, 2002, Maxwell-Dworkin Building, Harvard University, Cambridge, Massachusetts.",Edward Tong; Raymond Blundell; National Radio Astronomy Observatory (U.S.); Harvard-Smithsonian Center for Astrophysics.;,English,book,,Cambridge Mass. : [s.n,2002.0,,,2012-08-24 07:14
496286902,Biodiversity decline,Anne Johnson Pringle; Jeremy B  C Jackson; William F Laurance; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
34683041,Private universe project : workshop series preview tape,Melodie Hicks Arterberry; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
496285987,Looking forward : our global experiment,Daniel P Schrag; D Pauly; Edward O Wilson; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
6072160,Possible implications of the uncertainty principle for the time scale of gravitational collapse,Robert C Gilman,English,book,,"Cambridge, Mass. : Center for Astrophysics, Harvard College Observatory and Smithsonian Institution Observatory, l",975.0,,,2012-08-24 07:14
31453246,Can we believe our own eyes?,Matthew H Schneps; Ara Sahiner; Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Brenda O'Connor; Sheila Donelan; Philip Michael Sadler; Richard Konicek; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
42818124,The evolution of gas and stars in the merger galaxy NGC 1316 (Fornax A),G Mackie; Giuseppina Fabbiano; Harvard-Smithsonian Center for Astrophysics.; United States. National Aeronautics and Space Administration.,English,book_mic,,"Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics ; [Washington, DC : National Aeronautics and Space Administration ; Springfield, Va. : National Technical Information Service, distributor",1998.0,,,2012-08-24 07:14
182560419,"Freeze, freeze, fry : climate past, present and future.",Daniel P Schrag; Matthew H Schneps; Harvard-Smithsonian Center for Astrophysics.;,English,video_dvd,,"Cambridge, Mass. : Harvard University]",2007.0,,,2012-08-24 07:14
62503916,Cosmic questions : our place in space and time,Alex Griswold; Brian Claflin; John Doan; Melinda Lopez; Tim Douglas; Stacy Fischer; Daniel Davis; Harvard-Smithsonian Center for Astrophysics.;,English,video_dvd,,Boston : Smithsonian Institution Astrophysical Observatory,2004.0,,,2012-08-24 07:14
31635002,Taking a risk,Matthew H Schneps; Ara Sahiner; Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Terez Waldoch; Kathleen Fisher; Barbara La Corte; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
